Title,Experience,Salary,Date of Salary,What Is your Company,Work Type,Work Hour,City of Company site,Amount,Currency,Amount_EGP,category,Experience Years
Ai Engineer,4,60000,10/1/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Cairo,60000,EGP,60000,Data-Science,4
Ai Engineer,0,4000,7/21/2025 0:00,Not Egyption but site in egypt,On Site,Full Time,Cairo,4000,EGP,4000,Data-Science,0
Ams Layout Design Engineer,5 months,1000$ gross,7/22/2025 0:00,Egyption,Hybird,Full Time,cairo,1000,USD,48540,Other,0.5
Android Developer,2,25k,7/18/2025 0:00,Egyption,Hybird,Full Time,Cairo 5th settlement ,25000,EGP,25000,Mobile,2
Android Developer,0,8000,5/1/2025 0:00,Egyption,Remotley,Part Time,Mansoura,8000,EGP,8000,Mobile,0
Android Developer,6 months,10000,7/1/2025 0:00,Egyption,On Site,Full Time,cairo,10000,EGP,10000,Mobile,0.5
Android Developer,1,15,9/6/2024 0:00,Egyption,Remotley,Full Time,Cairo,15000,EGP,15000,Mobile,1
Android Developer,1,25 K,7/18/2025 0:00,Egyption,Hybird,Full Time,Cairo,25000,EGP,25000,Mobile,1
Android Developer,1,30000,8/5/2025 0:00,Egyption,Hybird,Full Time,"Smart Village, Giza, Egypt",30000,EGP,30000,Mobile,1
Android Developer,1.5,25k,8/5/2025 0:00,Egyption,Hybird,Full Time,Cairo,25000,EGP,25000,Mobile,1.5
Android Developer,2,40K,7/1/2025 0:00,Not Egyption but site in egypt,On Site,Full Time,Cairo,40000,EGP,40000,Mobile,2
Android Developer,2.5,40000,1/1/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Cairo,40000,EGP,40000,Mobile,2.5
Android Developer,4,70000,4/1/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Cairo ,70000,EGP,70000,Mobile,4
Android Developer,5,80000,8/1/2025 0:00,Not Egyption and site out of egypt,Remotley,Full Time,,80000,EGP,80000,Mobile,5
Android Developer,6,65,5/1/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Alexandria ,65000,EGP,65000,Mobile,6
Android Developer,6,1602 USD,7/17/2025 0:00,Not Egyption but site in egypt,Remotley,Full Time,Riyadh,1602,USD,77761.08,Mobile,6
Android Developer,10,2250 usd,7/17/2023 0:00,Not Egyption but site in egypt,Hybird,Full Time,Cairo,2250,USD,109215,Mobile,10
Android Developer,8,3000 USD,5/17/2025 0:00,Not Egyption and site out of egypt,Remotley,Full Time,Saudi Arabia,3000,USD,145620,Mobile,8
Android Developer ,3 months,6000,7/21/2025 0:00,Egyption,Hybird,Full Time,cairo,6000,EGP,6000,Mobile,0
Angular Developer,1,9000,8/17/2024 0:00,Egyption,Remotley,Full Time,,9000,EGP,9000,Frontend,1
Application Support,3,22500,4/1/2025 0:00,Egyption,Hybird,Full Time,Cairo,22500,EGP,22500,Mobile,3
Application Support ,1.5,14500,7/28/2025 0:00,Egyption,On Site,Full Time,Cairo,14500,EGP,14500,Mobile,1.5
Application Support ,5,22000,4/7/2025 0:00,Egyption,Hybird,Full Time,Cairo,22000,EGP,22000,Mobile,5
Associate Android Software Engineer,1,30000,7/21/2025 0:00,Egyption,Hybird,Full Time,Cairo ,30000,EGP,30000,Mobile,1
Associate Cybersecurity Consultant,2,40000,7/17/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,cairo,40000,EGP,40000,Security,2
Automation Tester,9,2000 usd,7/1/2025 0:00,Egyptian and site out of Egypt ,Remotley,Full Time,cairo ,2000,USD,97080,Testing,9
Automotive Embedded Software Test Engineer,4,75000,6/26/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,,75000,EGP,75000,Embedded,4
Back End,2,25000,8/3/2024 0:00,Egyption,Hybird,Full Time,Cairo,25000,EGP,25000,Backend,2
Back End Developer,1.5,6000,7/7/2025 0:00,Egyption,Remotley,Full Time,Cairo,6000,EGP,6000,Backend,1.5
Back End Developer,2,20000,7/1/2025 0:00,Egyption,Remotley,Full Time,cairo,20000,EGP,20000,Backend,2
Back End Developer,3,30000,7/1/2025 0:00,Egyption,Remotley,Full Time,cairo,30000,EGP,30000,Backend,3
Back End Developer,6,58000,7/16/2025 0:00,Egyption,Hybird,Full Time,Cairo,58000,EGP,58000,Backend,6
Back End Engineer Php Laravel,2.5,24200,8/2/2025 0:00,Not Egyption but site in egypt,On Site,Full Time,Cairo,24200,EGP,24200,Backend,2.5
Back End Php Developer,2,600 $,7/1/2025 0:00,Egyption,Remotley,Full Time,Giza,600,USD,29124,Backend,2
Backend ( Php ),4,1200$,1/1/2025 0:00,Not Egyption and site out of egypt,Remotley,Full Time,Dubai,1200,USD,58248,Backend,4
"Backend And Devops Engineer (Nodejs, Java, Aws, Terraform)",3,42000,7/23/2025 0:00,Fully remote operations,Remotley,Full Time,,42000,EGP,42000,Backend,3
Backend Developer,2,28000,11/20/2024 0:00,Egyption,Hybird,Full Time,cairo,28000,EGP,28000,Backend,2
Backend Developer,1,3000,7/1/2025 0:00,Egyption,Remotley,Part Time,"Maadi, Cairo",3000,EGP,3000,Backend,1
Backend Developer,1,20000,7/21/2025 0:00,Egyption,Hybird,Full Time,Giza,20000,EGP,20000,Backend,1
Backend Developer,1,36000,7/28/2025 0:00,Egyption,Hybird,Full Time,Cairo ,36000,EGP,36000,Backend,1
Backend Developer,2,10000,7/1/2025 0:00,Egyption,On Site,Full Time,tanta,10000,EGP,10000,Backend,2
Backend Developer,2,18000,6/1/2025 0:00,Egyption,Hybird,Full Time,New cairo,18000,EGP,18000,Backend,2
Backend Developer,2,23000,7/1/2025 0:00,Egyption,Hybird,Full Time,Cairo,23000,EGP,23000,Backend,2
Backend Developer,2.5,30000,1/3/2025 0:00,Egyption,Remotley,Full Time,Cairo,30000,EGP,30000,Backend,2.5
Backend Developer,3,34000,7/1/2025 0:00,Egyption,On Site,Full Time,Cairo,34000,EGP,34000,Backend,3
